Date,Electric Demand (kW)
1/1/2022 0:00,43.57225
1/1/2022 1:00,44.41724
1/1/2022 2:00,42.0075
1/1/2022 3:00,44.23887
1/1/2022 4:00,46.55722
1/1/2022 5:00,44.70345
1/1/2022 6:00,47.06249
1/1/2022 7:00,50.55181
1/1/2022 8:00,50.28517
1/1/2022 9:00,47.36174
1/1/2022 10:00,44.9789
1/1/2022 11:00,42.67287
1/1/2022 12:00,40.39559
1/1/2022 13:00,37.96662
1/1/2022 14:00,38.55381
1/1/2022 15:00,39.30044
1/1/2022 16:00,37.32867
1/1/2022 17:00,37.48513
1/1/2022 18:00,39.14155
1/1/2022 19:00,39.64244
1/1/2022 20:00,38.35059
1/1/2022 21:00,39.34871
1/1/2022 22:00,40.72566
1/1/2022 23:00,40.30923
1/2/2022 0:00,38.55137
1/2/2022 1:00,42.1119
1/2/2022 2:00,41.29769
1/2/2022 3:00,42.16532
1/2/2022 4:00,43.2121
1/2/2022 5:00,43.82092
1/2/2022 6:00,42.52799
1/2/2022 7:00,44.14141
1/2/2022 8:00,45.45277
1/2/2022 9:00,48.51425
1/2/2022 10:00,42.66432
1/2/2022 11:00,44.21938
1/2/2022 12:00,43.0616
1/2/2022 13:00,44.05668
1/2/2022 14:00,41.02516
1/2/2022 15:00,40.07669
1/2/2022 16:00,40.38346
1/2/2022 17:00,39.1551
1/2/2022 18:00,38.50026
1/2/2022 19:00,37.42685
1/2/2022 20:00,38.0107
1/2/2022 21:00,40.34849
1/2/2022 22:00,39.93863
1/2/2022 23:00,44.76003
1/3/2022 0:00,45.41462
1/3/2022 1:00,44.09721
1/3/2022 2:00,42.82476
1/3/2022 3:00,41.90557
1/3/2022 4:00,40.48175
1/3/2022 5:00,40.55046
1/3/2022 6:00,41.97055
1/3/2022 7:00,44.18304
1/3/2022 8:00,42.92805
1/3/2022 9:00,43.06358
1/3/2022 10:00,42.73792
1/3/2022 11:00,41.09304
1/3/2022 12:00,43.07457
1/3/2022 13:00,40.24808
1/3/2022 14:00,40.29255
1/3/2022 15:00,40.28037
1/3/2022 16:00,35.35443
1/3/2022 17:00,36.77403
1/3/2022 18:00,35.02905
1/3/2022 19:00,34.11011
1/3/2022 20:00,35.17527
1/3/2022 21:00,36.07651
1/3/2022 22:00,39.81923
1/3/2022 23:00,41.54369
1/4/2022 0:00,38.88784
1/4/2022 1:00,40.91667
1/4/2022 2:00,38.09887
1/4/2022 3:00,39.27041
1/4/2022 4:00,40.45394
1/4/2022 5:00,40.73771
1/4/2022 6:00,38.28601
1/4/2022 7:00,38.80636
1/4/2022 8:00,42.78313
1/4/2022 9:00,45.57809
1/4/2022 10:00,41.83119
1/4/2022 11:00,42.42215
1/4/2022 12:00,41.02165
1/4/2022 13:00,39.08979
1/4/2022 14:00,37.27175
1/4/2022 15:00,37.44297
1/4/2022 16:00,37.49295
1/4/2022 17:00,36.38891
1/4/2022 18:00,37.26543
1/4/2022 19:00,36.13448
