Month,Day,AC System Output (kW)
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0.099379
1,1,0.226127
1,1,0.281484
1,1,0.422165
1,1,0.200011
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0.103434
1,2,0.232751
1,2,0.28712
1,2,0.436017
1,2,0.221144
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0.10678
1,3,0.229636
1,3,0.27676
1,3,0.421222
1,3,0.225285
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0.04509
1,4,0.095184
1,4,0.111741
1,4,0.129014
1,4,0.05979
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0.008942
1,5,0.027244
1,5,0.034508
1,5,0.027335
1,5,0.007802
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,5,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0.111776
1,7,0.216844
1,7,0.25144
1,7,0.032286
1,7,0.011345
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,7,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0.09767
1,8,0.18627
1,8,0.218586
1,8,0.306308
1,8,0.171595
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,8,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0.001892
1,9,0.00198
1,9,0.004684
1,9,0.000103
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,9,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0.118647
1,10,0.000694
1,10,0.001442
1,10,0.000697
1,10,0.224511
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,10,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0.001231
1,11,0.002658
1,11,0.001237
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,11,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0.001465
1,12,0.00682
1,12,0.008341
1,12,0.37751
1,12,0.24809
1,12,0.002288
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,12,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0.002644
1,13,0.0041
1,13,0.004043
1,13,0.000333
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,13,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0.001619
1,14,0.003876
1,14,0.001629
1,14,0.295541
1,14,0.047274
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,14,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0.004475
1,15,0.011176
1,15,0.004247
1,15,0.003399
1,15,0.36089
1,15,0.007306
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,15,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0.004307
1,16,0.158963
1,16,0.263943
1,16,0.006257
1,16,0.028465
1,16,0.011492
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,16,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0.004844
1,17,0.173006
1,17,0.289665
1,17,0.333352
1,17,0.008822
1,17,0.070198
1,17,0.001846
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,17,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0.007029
1,18,0.147127
1,18,0.002355
1,18,0.003137
1,18,0.002368
1,18,0.000077
1,18,0.100966
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,18,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0.014841
1,19,0.025
1,19,0.363017
1,19,0.495746
1,19,0.374538
1,19,0.023398
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,19,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0.001588
1,20,0.005483
1,20,0.381553
1,20,0.024756
1,20,0.406774
1,20,0.029898
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,20,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0.000155
1,21,0.010719
1,21,0.006901
1,21,0.076239
1,21,0.021661
1,21,0.001376
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,21,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0.00116
1,22,0.004105
1,22,0.005572
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,22,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0.001121
1,23,0.049933
1,23,0.042018
1,23,0.041476
1,23,0.017951
1,23,0.002623
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,23,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0.002783
1,24,0.272889
1,24,0.364356
1,24,0.000607
1,24,0.078145
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0.00896
1,25,0.05092
1,25,0.01675
1,25,0.025861
1,25,0.010971
1,25,0.000061
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,25,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0.008349
1,26,0.01489
1,26,0.014191
1,26,0.013358
1,26,0.024569
1,26,0.005537
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,26,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0.065681
1,27,0.004248
1,27,0.440794
1,27,0.498114
1,27,0.636921
1,27,0.51005
1,27,0.262709
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,27,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0.065423
1,28,0.289295
1,28,0.428124
1,28,0.480298
1,28,0.603972
1,28,0.020837
1,28,0.00595
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,28,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0.076765
1,29,0.004318
1,29,0.419835
1,29,0.485659
1,29,0.611367
1,29,0.499176
1,29,0.271678
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,29,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0.000739
1,30,0.011919
1,30,0.041066
1,30,0.571248
1,30,0.707306
1,30,0.142656
1,30,0.337757
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,30,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0.004374
1,31,0.022005
1,31,0.523187
1,31,0.02739
1,31,0.227945
1,31,0.286323
1,31,0.001138
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
1,31,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0.092804
2,1,0.002232
2,1,0.011104
2,1,0.005904
2,1,0.006529
2,1,0.004941
2,1,0.00646
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0.09633
2,2,0.006468
2,2,0.014713
2,2,0.006553
2,2,0.461171
2,2,0.355866
2,2,0.185013
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,2,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0.114361
2,3,0.000865
2,3,0.007553
2,3,0.003789
2,3,0.013399
2,3,0.01549
2,3,0.013956
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,3,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0.011405
2,4,0.039075
2,4,0.000715
2,4,0.021943
2,4,0.015938
2,4,0.029698
2,4,0.001837
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,4,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0
2,5,0.004165
2,5,0.002124
2,5,0.008564
2,5,0.018107
2,5,0.024638
2,5,0.000503
2,5,0
